1, 18, 262144, 1.5936, 164497
1, 19, 524288, 2.71855, 192855
1, 20, 1048576, 4.983, 210430
1, 21, 2097152, 9.47785, 221268
1, 22, 4194304, 18.4004, 227946
1, 23, 8388608, 36.43665, 230224
1, 24, 16777216, 71.7566, 233807
2, 18, 262144, 0.9205, 284784
2, 19, 524288, 1.5738, 333135
2, 20, 1048576, 2.835, 369868
2, 21, 2097152, 5.26905, 398013
2, 22, 4194304, 10.21965, 410415
2, 23, 8388608, 20.18795, 415525
2, 24, 16777216, 39.78305, 421717
4, 18, 262144, 0.6491, 403857
4, 19, 524288, 1.0786, 486081
4, 20, 1048576, 1.73085, 605815
4, 21, 2097152, 3.28775, 637868
4, 22, 4194304, 5.56355, 753889
4, 23, 8388608, 11.49955, 729472
4, 24, 16777216, 22.8301, 734872
8, 18, 262144, 0.68495, 382719
8, 19, 524288, 1.0164, 515828
8, 20, 1048576, 1.6054, 653155
8, 21, 2097152, 2.7932, 750806
8, 22, 4194304, 5.10985, 820827
8, 23, 8388608, 10.20645, 821892
8, 24, 16777216, 20.16675, 831924
16, 18, 262144, 0.79675, 329016
16, 19, 524288, 1.14625, 457394
16, 20, 1048576, 1.74875, 599614
16, 21, 2097152, 3.0034, 698259
16, 22, 4194304, 5.66555, 740317
16, 23, 8388608, 10.52305, 797165
16, 24, 16777216, 20.2884, 826936
32, 18, 262144, 0.94985, 275984
32, 19, 524288, 1.24695, 420456
32, 20, 1048576, 1.96575, 533422
32, 21, 2097152, 3.27505, 640341
32, 22, 4194304, 5.87985, 713335
32, 23, 8388608, 11.5544, 726009
32, 24, 16777216, 21.7866, 770070
